Running DDPG with 1 steps...
Experiment 1/100, Episode 2801/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.28, Total Avg. Diff: 0.48, 100 Eps Diff: 0.56, Successful Detections: 2.40, 100 Eps Successful Detections: 2.51
Experiment 1/100, Episode 2901/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.32, Total Avg. Diff: 0.48, 100 Eps Diff: 0.59, Successful Detections: 2.41, 100 Eps Successful Detections: 2.50
Experiment 1/100, Episode 3001/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.20, Total Avg. Diff: 0.48, 100 Eps Diff: 0.47, Successful Detections: 2.41, 100 Eps Successful Detections: 2.41
Experiment 1/100, Episode 3101/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.24, Total Avg. Diff: 0.48, 100 Eps Diff: 0.50, Successful Detections: 2.41, 100 Eps Successful Detections: 2.42
Experiment 1/100, Episode 3201/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.30, Total Avg. Diff: 0.49, 100 Eps Diff: 0.57, Successful Detections: 2.41, 100 Eps Successful Detections: 2.47
Experiment 1/100, Episode 3301/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.21, Total Avg. Diff: 0.49, 100 Eps Diff: 0.47, Successful Detections: 2.41, 100 Eps Successful Detections: 2.38
Experiment 1/100, Episode 3401/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.25, Total Avg. Diff: 0.49, 100 Eps Diff: 0.48, Successful Detections: 2.41, 100 Eps Successful Detections: 2.44
Experiment 1/100, Episode 3501/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.24, Total Avg. Diff: 0.49, 100 Eps Diff: 0.49, Successful Detections: 2.41, 100 Eps Successful Detections: 2.42
Experiment 1/100, Episode 3601/5000, Total Avg. Reward: 0.23, 100 Eps Avg. Reward: 0.24, Total Avg. Diff: 0.49, 100 Eps Diff: 0.47, Successful Detections: 2.41, 100 Eps Successful Detections: 2.40
Experiment 1/100, Episode 3701/5000, Total Avg. Reward: 0.24, 100 Eps Avg. Reward: 0.25, Total Avg. Diff: 0.49, 100 Eps Diff: 0.55, Successful Detections: 2.41, 100 Eps Successful Detections: 2.51
Experiment 1/100, Episode 3801/5000, Total Avg. Reward: 0.24, 100 Eps Avg. Reward: 0.35, Total Avg. Diff: 0.49, 100 Eps Diff: 0.62, Successful Detections: 2.42, 100 Eps Successful Detections: 2.56
Experiment 1/100, Episode 3901/5000, Total Avg. Reward: 0.24, 100 Eps Avg. Reward: 0.23, Total Avg. Diff: 0.49, 100 Eps Diff: 0.51, Successful Detections: 2.42, 100 Eps Successful Detections: 2.40
Experiment 1/100, Episode 4001/5000, Total Avg. Reward: 0.24, 100 Eps Avg. Reward: 0.23, Total Avg. Diff: 0.49, 100 Eps Diff: 0.46, Successful Detections: 2.42, 100 Eps Successful Detections: 2.39
Experiment 1/100, Episode 4101/5000, Total Avg. Reward: 0.24, 100 Eps Avg. Reward: 0.24, Total Avg. Diff: 0.49, 100 Eps Diff: 0.57, Successful Detections: 2.42, 100 Eps Successful Detections: 2.46
Experiment 1/100, Episode 4201/5000, Total Avg. Reward: 0.24, 100 Eps Avg. Reward: 0.21, Total Avg. Diff: 0.49, 100 Eps Diff: 0.43, Successful Detections: 2.41, 100 Eps Successful Detections: 2.35
